fiyat;marka;seri;model;yil;yakit;vites;km;motor_gucu_hp;motor_hacmi_cc;cekis;renk;garanti;kimden
24900;Opel;Corsa;1.3 CDTI Enjoy;2004;Dizel;Manuel;270000;70;1248;Önden;Kýrmýzý;Hayýr;Galeriden
27500;Opel;Corsa;1.2 Enjoy;2004;Benzin;Manuel;164000;75;1199;Önden;Kýrmýzý;Hayýr;Galeriden
42500;Opel;Corsa;1.3 CDTI Enjoy;2008;Dizel;Yarý Otomatik;300000;90;1248;Önden;Gri;Hayýr;Galeriden
63750;Opel;Corsa;1.4 Enjoy;2017;Benzin;Yarý Otomatik;8780;90;1398;Önden;Kýrmýzý;Evet;Galeriden
25000;Opel;Corsa;1.3 CDTI Essentia;2004;Dizel;Manuel;200000;70;1248;Önden;Mavi;Hayýr;Sahibinden
28500;Opel;Corsa;1.7 DTI Comfort;2003;Dizel;Manuel;130000;76;1601;Önden;Beyaz;Evet;Galeriden
29750;Opel;Corsa;1.3 CDTI Essentia;2011;Dizel;Manuel;197000;75;1248;Önden;Beyaz;Hayýr;Galeriden
19250;Opel;Corsa;1.2 Swing;2000;Benzin;Manuel;169000;65;1199;Önden;Sarý;Hayýr;Galeriden
37500;Opel;Corsa;1.2 Twinport Essentia;2007;Benzin;Yarý Otomatik;97000;76;1201;Önden;Mavi;Hayýr;Sahibinden
21250;Opel;Corsa;1.4 100. Yýl;1999;Benzin & LPG;Manuel;221000;90;1389;Önden;Kýrmýzý;Hayýr;Sahibinden
31000;Opel;Corsa;1.2 Essentia;2004;Benzin & LPG;Yarý Otomatik;80000;75;1199;Önden;Gri;Hayýr;Galeriden
36850;Opel;Corsa;1.2 Twinport Essentia;2010;Benzin;Yarý Otomatik;53000;76;1200;Önden;Siyah;Hayýr;Galeriden
37000;Opel;Corsa;1.3 CDTI Enjoy;2012;Dizel;Manuel;130000;75;1248;Önden;Siyah;Hayýr;Sahibinden
50000;Opel;Corsa;1.4 Essentia;2015;Benzin;Yarý Otomatik;55000;90;1398;Önden;Siyah;Hayýr;Galeriden
41750;Opel;Corsa;1.3 CDTI Essentia;2011;Dizel;Manuel;86000;75;1248;Önden;Beyaz;Hayýr;Galeriden
38250;Opel;Corsa;1.2 Essentia;2013;Benzin;Manuel;90000;51;1200;Önden;Füme;Hayýr;Sahibinden
31900;Opel;Corsa;1.2 Essentia;2005;Benzin;Manuel;130000;80;1229;Önden;Gümüþ Gri;Hayýr;Sahibinden
56900;Opel;Corsa;1.4 Design;2016;Benzin;Otomatik;31000;90;1398;Önden;Füme;Evet;Galeriden
42500;Opel;Corsa;1.2 Essentia;2010;Benzin;Yarý Otomatik;69000;176;1201;Önden;Füme;Hayýr;Sahibinden
20000;Opel;Corsa;1.4 Comfort;2001;Benzin & LPG;Manuel;143000;90;1389;Önden;Gri;Hayýr;Sahibinden
18750;Opel;Corsa;1.4 Swing;1997;Benzin & LPG;Manuel;195000;60;1389;Önden;Bordo;Hayýr;Galeriden
36750;Opel;Corsa;1.3 CDTI Enjoy;2008;Dizel;Manuel;162300;75;1248;Önden;Gri;Hayýr;Sahibinden
23500;Opel;Corsa;1.4 CD;1999;Benzin & LPG;Manuel;180000;101;1201;Önden;Gümüþ Gri;Hayýr;Sahibinden
39600;Opel;Corsa;1.4 Twinport Enjoy;2013;Benzin & LPG;Otomatik;81000;100;1364;Önden;Beyaz;Hayýr;Sahibinden
42900;Opel;Corsa;1.3 CDTI Essentia;2012;Dizel;Manuel;114000;75;1248;Önden;Beyaz;Hayýr;Sahibinden
40500;Opel;Corsa;1.3 CDTI Silverline;2006;Dizel;Yarý Otomatik;62500;70;1248;Önden;Gri;Hayýr;Sahibinden
27250;Opel;Corsa;1.3 CDTI Sport;2007;Dizel;Manuel;153250;90;1248;Önden;Beyaz;Evet;Sahibinden
32500;Opel;Corsa;1.3 CDTI Enjoy;2005;Dizel;Yarý Otomatik;99000;70;1248;Önden;Gri;Hayýr;Sahibinden
26500;Opel;Corsa;1.3 CDTI Essentia;2005;Dizel;Manuel;158000;76;1201;Önden;Gümüþ Gri;Hayýr;Galeriden
30600;Opel;Corsa;1.3 CDTI Enjoy;2005;Dizel;Yarý Otomatik;143000;70;1248;Önden;Gri;Hayýr;Galeriden
27900;Opel;Corsa;1.2 Enjoy;2004;Benzin;Manuel;116000;75;1199;Önden;Beyaz;Hayýr;Galeriden
44000;Opel;Corsa;1.3 CDTI Enjoy;2012;Dizel;Manuel;110550;75;1248;Önden;Siyah;Hayýr;Sahibinden
26000;Opel;Corsa;1.3 CDTI Essentia;2006;Dizel;Manuel;165000;75;1248;Önden;Siyah;Hayýr;Sahibinden
36000;Opel;Corsa;1.3 CDTI Enjoy;2009;Dizel;Manuel;155000;76;1201;Önden;Siyah;Hayýr;Sahibinden
43500;Opel;Corsa;1.3 CDTI Essentia;2014;Dizel;Manuel;71300;75;1248;Önden;Beyaz;Hayýr;Sahibinden
44500;Opel;Corsa;1.2 Twinport Essentia;2014;Benzin;Manuel;44000;85;1229;Önden;Füme;Hayýr;Galeriden
40900;Opel;Corsa;1.3 CDTI Essentia;2013;Dizel;Manuel;124000;75;1248;Önden;Beyaz;Hayýr;Galeriden
47750;Opel;Corsa;1.3 CDTI Enjoy;2012;Dizel;Manuel;74500;75;1248;Önden;Kýrmýzý;Hayýr;Sahibinden
33900;Opel;Corsa;1.3 CDTI Essentia;2008;Dizel;Manuel;169000;75;1248;Önden;Gri;Hayýr;Galeriden
